gene,uniprot,organ
IZUMO4,Q1ZYL8,testis
ACRBP,Q8NEB7,testis
TSSK1B,Q9BXA7,testis
CALR3,Q96L12,testis
OXCT2,Q9BYC2,testis
SPAG6,O75602,testis
KIF2B,Q8N4N8,testis
ADAM30,Q9UKF2,testis
PASD1,Q8IV76,testis
TXNDC2,Q86VQ3,testis
MAGEC2,Q9UBF1,testis
IRGC,Q6NXR0,testis
PAGE1,O75459,testis
MAGEB1,P43366,testis
GJA8,P48165,testis
MORC1,Q86VD1,testis
FTMT,Q8N4E7,testis
OPN5,Q6U736,testis
SPACA7,Q96KW9,testis
MAGEB18,Q96M61,testis
LYZL4,Q96KX0,testis
ADAM32,Q8TC27,testis
TNP2,Q05952,testis
HSD17B3,P37058,testis
ASZ1,Q8WWH4,testis
HORMAD2,Q8N7B1,testis
SPATA8,Q6RVD6,testis
TULP2,O00295,testis
ACRV1,P26436,testis
BANF2,Q9H503,testis
SPDYA,Q5MJ70,testis
ZNRF4,Q8WWF5,testis
FKBP6,O75344,testis
TDRD1,Q9BXT4,testis
ODF3,Q96PU9,testis
GLIPR1L1,Q6UWM5,testis
C10orf62,Q5T681,testis
CST9L,Q9H4G1,testis
H1FOO,Q8IZA3,testis
CST8,O60676,testis
MYCBPAP,Q8TBZ2,testis
SPANXN4,Q5MJ08,testis
RFPL3S,P0C7P2,testis
MAGEB2,O15479,testis
PRR30,Q53SZ7,testis
TCP10,Q12799,testis
FAM47B,Q8NA70,testis
SPZ1,Q9BXG8,testis
IQCF5,A8MTL0,testis
PRKACG,P22612,testis
C16orf82,Q7Z2V1,testis
CATSPER4,Q7RTX7,testis
ACTL9,Q8TC94,testis
SOX30,O94993,testis
LRWD1,Q9UFC0,testis
KLHL10,Q6JEL2,testis
CT47B1,P0C2W7,testis
SAXO1,Q8IYX7,testis
C3orf22,Q8N5N4,testis
DKKL1,Q9UK85,testis
NUTM1,Q86Y26,testis
CCER1,Q8TC90,testis
BPIFA3,Q9BQP9,testis
DNAJB8,Q8NHS0,testis
ACTRT1,Q8TDG2,testis
SSX3,Q99909,testis
OTUD6A,Q7L8S5,testis
C10orf53,Q8N6V4,testis
CCDC70,Q6NSX1,testis
LYPD4,Q6UWN0,testis
RBMXL3,Q8N7X1,testis
TKTL1,P51854,testis
TPD52L3,Q96J77,testis
MAGEC1,O60732,testis
VCX,Q9H320,testis
LYZL1,Q6UWQ5,testis
COX8C,Q7Z4L0,testis
MROH2B,Q7Z745,testis
MAEL,Q96JY0,testis
TSPY2,A6NKD2,testis
BEND2,Q8NDZ0,testis
MS4A5,Q9H3V2,testis
STK31,Q9BXU1,testis
PRSS38,A1L453,testis
MAGEA1,P43355,testis
GALNTL5,Q7Z4T8,testis
SCP2D1,Q9UJQ7,testis
LYZL2,Q7Z4W2,testis
DMRTC2,Q8IXT2,testis
TGIF2LX,Q8IUE1,testis
SPACA4,Q8TDM5,testis
TSKS,Q9UJT2,testis
SPANXC,Q9NY87,testis
TSACC,Q96A04,testis
TEX38,Q6PEX7,testis
SLC26A8,Q96RN1,testis
SAGE1,Q9NXZ1,testis
CYLC2,Q14093,testis
FSCB,Q5H9T9,testis
SLC2A14,Q8TDB8,testis
SPANXD,Q9BXN6,testis
FSCN3,Q9NQT6,testis
DEFB118,Q96PH6,testis
SPATA22,Q8NHS9,testis
TMCO2,Q7Z6W1,testis
MAGEB6,Q8N7X4,testis
EPPIN,O95925,testis
IQCF1,Q8N6M8,testis
COX7B2,Q8TF08,testis
C4orf17,Q53FE4,testis
RNASE11,Q8TAA1,testis
PAGE2,Q7Z2X7,testis
PAGE3,Q5JUK9,testis
PLCZ1,Q86YW0,testis
C10orf120,Q5SQS8,testis
DCAF4L2,Q8NA75,testis
INSL6,Q9Y581,testis
RHOXF2,Q9BQY4,testis
CCDC54,Q8NEL0,testis
VCX2,Q9H322,testis
PRSS37,A4D1T9,testis
TEX19,Q8NA77,testis
KIAA1210,Q9ULL0,testis
EQTN,Q9NQ60,testis
TUBA3C,Q13748,testis
SPINT3,P49223,testis
RBM44,Q6ZP01,testis
NT5C1B,Q96P26,testis
RNF17,Q9BXT8,testis
PRM3,Q9NNZ6,testis
SIRPD,Q9H106,testis
CST11,Q9H112,testis
CCIN,Q13939,testis
RNASE12,Q5GAN4,testis
TSPYL6,Q8N831,testis
KCNU1,A8MYU2,testis
ACR,P10323,testis
CCDC83,Q8IWF9,testis
FAM71A,Q8IYT1,testis
NUP210L,Q5VU65,testis
ROPN1,Q9HAT0,testis
DEFB123,Q8N688,testis
CAGE1,Q8TC20,testis
NANOS2,P60321,testis
LDHAL6B,Q9BYZ2,testis
C8orf74,Q6P047,testis
ERICH6,Q7L0X2,testis
SPINT4,Q6UDR6,testis
RIMBP3,Q9UFD9,testis
PRSS21,Q9Y6M0,testis
OAZ3,Q9UMX2,testis
SPAG11B,Q08648,testis
KDM4D,Q6B0I6,testis
C1orf167,Q5SNV9,testis
DNAJC5B,Q9UF47,testis
LCA5L,O95447,testis
STARD6,P59095,testis
CCNA1,P78396,testis
IQCF2,Q8IXL9,testis
TKTL2,Q9H0I9,testis
MGAT4D,A6NG13,testis
ZNF541,Q9H0D2,testis
SPANXN3,Q5MJ09,testis
BIRC8,Q96P09,testis
DNAH8,Q96JB1,testis
ADAM7,Q9H2U9,testis
SPATA17,Q96L03,testis
SPEM1,Q8N4L4,testis
SPO11,Q9Y5K1,testis
TAF7L,Q5H9L4,testis
FAM170A,A1A519,testis
CT45A3,Q8NHU0,testis
MAGEB4,O15481,testis
FAM209B,Q5JX69,testis
MAGEA4,P43358,testis
HSPA1L,P34931,testis
SPANXN5,Q5MJ07,testis
ZC2HC1C,Q53FD0,testis
GAGE2A,Q6NT46,testis
CCDC105,Q8IYK2,testis
CATSPERD,Q86XM0,testis
CLPB,Q9H078,testis
TGIF2LY,Q8IUE0,testis
CAPN11,Q9UMQ6,testis
TTLL8,A6PVC2,testis
TEX44 ,Q53QW1,testis
DCAF8L1,A6NGE4,testis
PAGE5,Q96GU1,testis
C20orf144,Q9BQM9,testis
SMIM21,Q3B7S5,testis
SPEM2,Q0P670,testis
DYDC1,Q8WWB3,testis
GSG1,Q2KHT4,testis
HIST3H3,Q16695,testis
ASB17,Q8WXJ9,testis
CTCFL,Q8NI51,testis
TRIML1,Q8N9V2,testis
MOV10L1,Q9BXT6,testis
CPXCR1,Q8N123,testis
PRNT,Q86SH4,testis
FAM71E2,Q8N5Q1,testis
GAGE1,Q13065,testis
C2orf78,A6NCI8,testis
UBL4B,Q8N7F7,testis
PRR23B,Q6ZRT6,testis
TMEM210,A6NLX4,testis
ROPN1B,Q9BZX4,testis
CXorf66,Q5JRM2,testis
FTHL17,Q9BXU8,testis
TSPAN16,Q9UKR8,testis
C16orf78,Q8WTQ4,testis
C12orf50,Q8NA57,testis
RSPH6A,Q9H0K4,testis
TEX36,Q5VZQ5,testis
DPEP3,Q9H4B8,testis
DCAF4L1,Q3SXM0,testis
MBD3L1,Q8WWY6,testis
TEX12,Q9BXU0,testis
CCDC42,Q96M95,testis
TMEM225,Q6GV28,testis
MAGEB5,Q9BZ81,testis
RIMBP3C,A6NJZ7,testis
HYPM,O75409,testis
CTAG1B,P78358,testis
OR10J1,P30954,testis
ARMC3,Q5W041,testis
TXNDC8,Q6A555,testis
TOPAZ1,Q8N9V7,testis
HIST1H1T,P22492,testis
CREM,Q03060,testis
TMEM202,A6NGA9,testis
ANKRD60,Q9BZ19,testis
CCDC172,P0C7W6,testis
ENTHD1,Q8IYW4,testis
LRRC36,Q1X8D7,testis
MAGEB3,O15480,testis
DEFB121,Q5J5C9,testis
CNBD1,Q8NA66,testis
DEFB125,Q8N687,testis
POM121L2,Q96KW2,testis
FAM47A,Q5JRC9,testis
SPAG11A,Q6PDA7,testis
TSPY4,P0CV99,testis
TSGA13,Q96PP4,testis
TSPY1,Q01534,testis
KLF17,Q5JT82,testis
VCX3A,Q9NNX9,testis
SIGLECL1,Q8N7X8,testis
DDI1,Q8WTU0,testis
FNDC8,Q8TC99,testis
C1orf185,Q5T7R7,testis
SPDYE4,A6NLX3,testis
FAM217A,Q8IXS0,testis
DEFB126,Q9BYW3,testis
GUCA1A,P43080,testis
WDR64,B1ANS9,testis
MS4A13,Q5J8X5,testis
DUSP21,Q9H596,testis
GOT1L1,Q8NHS2,testis
BRD8,Q9H0E9,testis
OR1C1,Q15619,testis
SYCE1,Q8N0S2,testis
FAM166A,Q6J272,testis
LLCFC1,Q96L11,testis
TTC21A,Q8NDW8,testis
FOXR2,Q6PJQ5,testis
FOXR1,Q6PIV2,testis
ZNF479,Q96JC4,testis
GAGE12H,A6NDE8,testis
GLT6D1,Q7Z4J2,testis
FNDC11,Q9BVV2,testis
PRAME,P78395,testis
CT45A1,Q5HYN5,testis
IZUMO3,Q5VZ72,testis
PIK3R3,Q92569,testis
RNF151,Q2KHN1,testis
ADAM29,Q9UKF5,testis
TEX35,Q5T0J7,testis
ARMC4,Q5T2S8,testis
TBC1D28,Q2M2D7,testis
FHAD1,B1AJZ9,testis
TEX28,O15482,testis
CCDC7,Q96M83,testis
SLC6A16,Q9GZN6,testis
BOD1L2,Q8IYS8,testis
MRGPRG,Q86SM5,testis
RHOXF2B,P0C7M4,testis
USP26,Q9BXU7,testis
C3orf20,Q8ND61,testis
PAGE2B,Q5JRK9,testis
SSX2B,Q16385,testis
ADAM20,O43506,testis
TEX13B,Q9BXU2,testis
GGN,Q86UU5,testis
RGAG1,Q8NET4,testis
FAM170B,A6NMN3,testis
C20orf141,Q9NUB4,testis
SLC36A3,Q495N2,testis
CCDC110,Q8TBZ0,testis
SOCS7,O14512,testis
ANKRD31,Q8N7Z5,testis
IQCF3,P0C7M6,testis
ALLC,Q8N6M5,testis
SSX1,Q16384,testis
H1FNT,Q75WM6,testis
ZC2HC1B,Q5TFG8,testis
ZBTB32,Q9Y2Y4,testis
DEFB129,Q9H1M3,testis
STAG3,Q9UJ98,testis
SMIM2,Q9BVW6,testis
ANTXRL,A6NF34,testis
FAM221B,A6H8Z2,testis
CCDC155,Q8N6L0,testis
ZMYND10,O75800,testis
PIAS2,O75928,testis
C7orf61,Q8IZ16,testis
ART3,Q13508,testis
RFX2,P48378,testis
TTLL6,Q8N841,testis
RIMBP3B,A6NNM3,testis
ACTL8,Q9H568,testis
PKDREJ,Q9NTG1,testis
VCX3B,Q9H321,testis
RGSL1,A5PLK6,testis
FAM71F1,Q96KD3,testis
TSPY10,P0CW01,testis
C20orf78,Q9BR46,testis
PRDM9,Q9NQV7,testis
SPANXN2,Q5MJ10,testis
UBE2U,Q5VVX9,testis
PPP1R42,Q7Z4L9,testis
RPL39L,Q96EH5,testis
PRSS55,Q6UWB4,testis
FAM205A,Q6ZU69,testis
GSC2,O15499,testis
RBM46,Q8TBY0,testis
TEX44,Q53QW1,testis
TTLL2,Q9BWV7,testis
FBXO47,Q5MNV8,testis
GAGE13,Q4V321,testis
SSX2,Q16385,testis
C16orf90,A8MZG2,testis
HHIPL2,Q6UWX4,testis
LRIT1,Q9P2V4,testis
CPA5,Q8WXQ8,testis
POTEC,B2RU33,testis
SEL1L2,Q5TEA6,testis
LRRC74A,Q0VAA2,testis
C22orf42,Q6IC83,testis
CHODL,Q9H9P2,testis
TFDP3,Q5H9I0,testis
C3orf56,Q8N813,testis
WBSCR28,Q6UE05,testis
THEG,Q9P2T0,testis
FEZF1,A0PJY2,testis
RPL10L,Q96L21,testis
ADIG,Q0VDE8,testis
SMC1B,Q8NDV3,testis
RBMY1A1,P0DJD3,testis
SPAG17,Q6Q759,testis
PSMA8,Q8TAA3,testis
CCDC62,Q6P9F0,testis
PTCHD3,Q3KNS1,testis
TRIM60,Q495X7,testis
CT45A5,P0DMU8,testis
MAGEA3,P43357,testis
KCTD19,Q17RG1,testis
ADAM21,Q9UKJ8,testis
KIF4B,Q2VIQ3,testis
C12orf54,Q6X4T0,testis
ANKRD62,A6NC57,testis
CT62,P0C5K7,testis
TRIM42,Q8IWZ5,testis
NOBOX,O60393,testis
QRICH2,Q9H0J4,testis
SPATA32,Q96LK8,testis
CMTM2,Q8TAZ6,testis
WBP2NL,Q6ICG8,testis
LRRIQ3,A6PVS8,testis
ZBBX,A8MT70,testis
CFAP97D1,B2RV13,testis
C1orf94,Q6P1W5,testis
RAD21L1,Q9H4I0,testis
OR2H1,Q9GZK4,testis
EDDM3B,P56851,testis
TUBA3D,Q13748,testis
ELOA2,Q8IYF1,testis
OR14J1,Q9UGF5,testis
PAPOLB,Q9NRJ5,testis
TEX15,Q9BXT5,testis
FBXO39,Q8N4B4,testis
OR4M1,Q8NGD0,testis
ARMC12,Q5T9G4,testis
ZNF683,Q8IZ20,testis
TTC23L,Q6PF05,testis
XAGE5,Q8WWM1,testis
SYCP3,Q8IZU3,testis
FOXN4,Q96NZ1,testis
HEMGN,Q9BXL5,testis
AXDND1,Q5T1B0,testis
PRSS50,Q9UI38,testis
GOLGA6L2,Q8N9W4,testis
OR4N2,Q8NGD1,testis
PFN4,Q8NHR9,testis
FAM71D,Q8N9W8,testis
TEKT3,Q9BXF9,testis
XKR3,Q5GH77,testis
ADCY10,Q96PN6,testis
GPX5,O75715,testis
BTG4,Q9NY30,testis
SPATA18,Q8TC71,testis
C12orf40,Q86WS4,testis
CCT8L2,Q96SF2,testis
TEKT2,Q9UIF3,testis
WFDC8,Q8IUA0,testis
ZNF645,Q8N7E2,testis
PLSCR2,Q9NRY7,testis
CCDC182,A6NF36,testis
LRRC46,Q96FV0,testis
C16orf71,Q8IYS4,testis
CCDC185,Q8N715,testis
COX6B2,Q6YFQ2,testis
ARHGAP28,Q9P2N2,testis
DNAI2,Q9GZS0,testis
SPANXB1,Q9NS25,testis
TDRD5,Q8NAT2,testis
OR4N4,Q8N0Y3,testis
DDX43,Q9NXZ2,testis
BHMG1,C9JSJ3,testis
C9orf57,Q5W0N0,testis
CCDC136,Q96JN2,testis
CCNYL3,P0C7X3,testis
SPESP1,Q6UW49,testis
C1orf100,Q5SVJ3,testis
NEK2,P51955,testis
SPATA31D1,Q6ZQQ2,testis
FAM187B,Q17R55,testis
LIN28A,Q9H9Z2,testis
PROCA1,Q8NCQ7,testis
RNF32,Q9H0A6,testis
GOLGA6C,A6NDK9,testis
GRK4,P32298,testis
TBC1D3G,Q6DHY5,testis
AGBL5,Q8NDL9,testis
RAD9B,Q6WBX8,testis
SYCE2,Q6PIF2,testis
GOLGA6L6,A8MZA4,testis
FAM71F2,Q6NXP2,testis
NUP155,O75694,testis
DNAJB3,Q8WWF6,testis
DDX53,Q86TM3,testis
AURKC,Q9UQB9,testis
PRPS1L1,P21108,testis
SLC6A2,P23975,testis
RGPD4,Q7Z3J3,testis
RSPH10B2,B2RC85,testis
GAB4,Q2WGN9,testis
DNAI1,Q9UI46,testis
SPANXA1,Q9NS26,testis
PRSS54,Q6PEW0,testis
GAGE12C,A1L429,testis
POU4F2,Q12837,testis
GOLGA6D,P0CG33,testis
PFN3,P60673,testis
FAM46D,Q8NEK8,testis
PKD2L2,Q9NZM6,testis
POTEB3,A0JP26,testis
CDRT15L2,A8MXV6,testis
CT47A6,P0DMU7,testis
RSPH10B,P0C881,testis
AKNAD1,Q5T1N1,testis
SLC25A2,Q9BXI2,testis
MAGEB16,A2A368,testis
SPANXN1,Q5VSR9,testis
OR7E24,Q6IFN5,testis
SPANXA2,Q9NS26,testis
HK1,P19367,testis
CT83,Q5H943,testis
RNF113B,Q8IZP6,testis
SMIM23,A6NLE4,testis
REC114,Q7Z4M0,testis
RDM1,Q8NG50,testis
GAGE12J,A6NER3,testis
IZUMO2,Q6UXV1,testis
ADGRG2,Q8IZP9,testis
SLC22A16,Q86VW1,testis
NKX1-1,Q15270,testis
C7orf66,A4D0T2,testis
OR6F1,Q8NGZ6,testis
USP50,Q70EL3,testis
OR52D1,Q9H346,testis
CSTL1,Q9H114,testis
C2CD6,Q53TS8,testis
USP29,Q9HBJ7,testis
C5orf60,A6NFR6,testis
TRIM69,Q86WT6,testis
BCL2L14,Q9BZR8,testis
C6orf201,Q7Z4U5,testis
GOLGA8F,Q08AF8,testis
SYCE3,A1L190,testis
CCDC27,Q2M243,testis
NXF3,Q9H4D5,testis
TSSK2,Q96PF2,testis
OR13C3,Q8NGS6,testis
POTED,Q86YR6,testis
TCP10L2,B9ZVM9,testis
DNAH17,Q9UFH2,testis
CTAG1A,P78358,testis
PRR22,Q8IZ63,testis
C5orf58,C9J3I9,testis
MAGEA11,P43364,testis
CXorf51B,A0A1B0GTR3,testis
FAM186B,Q8IYM0,testis
OR8D1,Q8WZ84,testis
TGM7,Q96PF1,testis
TERB1,Q8NA31,testis
MAGEA6,P43360,testis
LPIN1,Q14693,testis
CTAGE6,Q86UF2,testis
CCDC158,Q5M9N0,testis
TCP10L,Q8TDR4,testis
WFDC3,Q8IUB2,testis
PBK,Q96KB5,testis
SPATA9,Q9BWV2,testis
C11orf94,C9JXX5,testis
HMMR,O75330,testis
ARL13A,Q5H913,testis
PIWIL3,Q7Z3Z3,testis
HYDIN,Q4G0P3,testis
WDR62,O43379,testis
C10orf82,Q8WW14,testis
ADAD2,Q8NCV1,testis
LRRC72,A6NJI9,testis
ANHX,E9PGG2,testis
AKAP14,Q86UN6,testis
SLC25A52,Q3SY17,testis
CDC14C,A4D256,testis
FAM186A,A6NE01,testis
KRT72,Q14CN4,testis
NCAPH,Q15003,testis
PP2D1,A8MPX8,testis
CCDC38,Q502W7,testis
FAM53A,Q6NSI3,testis
ERICH6B,Q5W0A0,testis
PCSK4,Q6UW60,testis
KDM5B,Q9UGL1,testis
TEX26,Q8N6G2,testis
DEFB127,Q9H1M4,testis
C6orf10,Q5SRN2,testis
ACTRT3,Q9BYD9,testis
SLFNL1,Q499Z3,testis
C16orf95,Q9H693,testis
CRYGC,P07315,testis
C4orf45,Q96LM5,testis
FAM9A,Q8IZU1,testis
DEFB110,Q30KQ9,testis
PDILT,Q8N807,testis
C11orf42,Q8N5U0,testis
HIGD2B,Q4VC39,testis
H3F3C,Q6NXT2,testis
SPATA31D3,P0C874,testis
ADGB,Q8N7X0,testis
MAGEB10,Q96LZ2,testis
SEMG2,Q02383,testis
H2AFB1,P0C5Y9,testis
DMC1,Q14565,testis
AKR1E2,Q96JD6,testis
CCDC166,P0CW27,testis
CST9,Q5W186,testis
DLEC1,Q9Y238,testis
TSPY3,P0CV98,testis
DPPA2,Q7Z7J5,testis
APOBEC4,Q8WW27,testis
TSPY8,P0CW00,testis
OR14A2,Q96R54,testis
WFDC9,Q8NEX5,testis
TRIP13,Q15645,testis
WDR87,Q6ZQQ6,testis
C17orf112,F2Z3M2,testis
PRR23C,Q6ZRP0,testis
CLEC12B,Q2HXU8,testis
FAM71C,Q8NEG0,testis
CT47A8,Q5JQC4,testis
CT47A9,Q5JQC4,testis
CNGA2,Q16280,testis
ODF4,Q2M2E3,testis
MAGEA8,P43361,testis
EID3,Q8N140,testis
VCY,O14598,testis
GOLGA6L1,Q8N7Z2,testis
GLIPR1L2,Q4G1C9,testis
SUN3,Q8TAQ9,testis
CCDC179,H3BU77,testis
GOLGA6B,A6NDN3,testis
VCY1B,O14598,testis
SPATA31A1,Q5TZJ5,testis
TAF1L,Q8IZX4,testis
ZSWIM2,Q8NEG5,testis
DEFB112,Q30KQ8,testis
ATXN3L,Q9H3M9,testis
C2orf70,A6NJV1,testis
GSTM3,P21266,testis
POTEF,A5A3E0,testis
C17orf47,Q8NEP4,testis
EFCAB8,A8MWE9,testis
MS4A6E,Q96DS6,testis
GSTT4,no ID,testis
DEFB106B,Q8N104,testis
C17orf50,Q8WW18,testis
LRRC52,Q8N7C0,testis
TMEM95,Q3KNT9,testis
FANCD2OS,Q96PS1,testis
MS4A14,Q96JA4,testis
BARHL2,Q9NY43,testis
MMP20,O60882,testis
DCDC2C,A8MYV0,testis
DUSP15,Q9H1R2,testis
EFCAB3,Q8N7B9,testis
OTOG,Q6ZRI0,testis
C5orf52,A6NGY3,testis
DPPA5,A6NC42,testis
GOLGA6L22,H0YM25,testis
C11orf65,Q8NCR3,testis
TEX11,Q8IYF3,testis
CCDC63,Q8NA47,testis
ZNF679,Q8IYX0,testis
NLRP7,Q8WX94,testis
GML,Q99445,testis
DEFB128,Q7Z7B8,testis
SPATA48,A4D263,testis
CT45A10,P0DMU9,testis
FAM47C,Q5HY64,testis
SPATA6,Q9NWH7,testis
DAZ2,Q13117,testis
RNF148,Q8N7C7,testis
SPATA31D4,Q6ZUB0,testis
TSGA10IP,Q3SY00,testis
SPATS1,Q496A3,testis
EDDM3A,Q14507,testis
TMEM31,Q5JXX7,testis
CEP295NL,Q96MC4,testis
RBMY1F,Q15415,testis
CTAGE1,Q9HC47,testis
C12orf80,noUniprot ID,testis
WFDC6,Q9BQY6,testis
EFCAB9,A8MZ26,testis
NUTM2F,A1L443,testis
FAM81B,Q96LP2,testis
OR8B2,Q96RD0,testis
DRC7,Q8IY82,testis
TSSK6,Q9BXA6,testis
ZDHHC19,Q8WVZ1,testis
CLPSL1,A2RUU4,testis
MROH7,Q68CQ1,testis
C3orf84,H3BNL1,testis
C4orf51,C9J302,testis
LRRC18,Q8N456,testis
CCDC116,Q8IYX3,testis
TEX43,Q6ZNM6,testis
H2BFWT,Q7Z2G1,testis
PRDM13,Q9H4Q3,testis
POTEB,A0A0A6YYL3,testis
Tex22,C9J3V5,testis
VWA3B,Q502W6,testis
MAJIN,Q3KP22,testis
KCNV2,Q8TDN2,testis
FAM205C,A6NFA0,testis
DNAJB7,Q7Z6W7,testis
SSMEM1,Q8WWF3,testis
CATSPER1,Q8NEC5,testis
EXD1,Q8NHP7,testis
DMP1,Q13316,testis
CCDC36,Q8IYA8,testis
GOLGA8G,Q08AF8,testis
GTSF1,Q8WW33,testis
SKOR2,Q2VWA4,testis
GAGE2E,Q4V326,testis
SPATA31A7,Q8IWB4,testis
ZIM3,Q96PE6,testis
POTEH,Q6S545,testis
NBPF4,Q96M43,testis
NACA2,Q9H009,testis
C15orf32,Q32M92,testis
EFCAB5,A4FU69,testis
OR4Q3,Q8NH05,testis
C9orf43,Q8TAL5,testis
C14orf177,Q52M58,testis
FAM230A,no ID,testis
DRICH1,Q6PGQ1,testis
NAA11,Q9BSU3,testis
C2orf73,Q8N5S3,testis
CATSPER3,Q86XQ3,testis
OOEP,A6NGQ2,testis
PRAMEF1,O95521,testis
C16orf96,A6NNT2,testis
TERB2,Q8NHR7,testis
SRRM5,B3KS81,testis
CD200R1L,Q6Q8B3,testis
PPP4R3CP,Q6ZMV5,testis
OR8B3,Q8NGG8,testis
TPRX1,Q8N7U7,testis
C19orf67,A6NJJ6,testis
LYAR,Q9NX58,testis
IQCA1L,A6NCM1,testis
DEFB106A,Q8N104,testis
LEMD1,Q68G75,testis
CATSPERE,Q5SY80,testis
DEFB136,Q30KP8,testis
SULT6B1,Q6IMI4,testis
Ly6k,Q17RY6,testis
ABHD1,Q96SE0,testis
PLAC8L1,A1L4L8,testis
CATSPERG,Q6ZRH7,testis
CCDC87,Q9NVE4,testis
C2orf16,Q68DN1,testis
TSSK4,Q6SA08,testis
IZUMO1,Q8IYV9,testis
MENT,Q9BUN1,testis
ANKRD30B,Q9BXX2,testis
TEPP,Q6URK8,testis
TAS1R1,Q7RTX1,testis
GSTA5,Q7RTV2,testis
TCTE3,Q8IZS6,testis
IQCF6,A8MYZ5,testis
TEX47 ,Q8TBZ9,testis
SPATA24,Q86W54,testis
DEFB114,Q30KQ6,testis
C18orf63,Q68DL7,testis
KRTAP20-4,Q3LI62,testis
DEUP1,Q05D60,testis
CCDC168,Q8NDH2,testis
PRR23A,A6NEV1,testis
TMEM239,Q8WW34,testis
OR4K1,Q8NGD4,testis
TEX30,Q5JUR7,testis
CCDC144NL,Q6NUI1,testis
ZAN,Q9Y493,testis
PRSS58,Q8IYP2,testis
CFAP57,Q96MR6,testis
SPATA12,Q7Z6I5,testis
TTLL10,Q6ZVT0,testis
RNF133,Q8WVZ7,testis
CATSPERZ,Q9NTU4,testis
C19orf84,I3L1E1,testis
ARMC2,Q8NEN0,testis
TCP11X2,Q5H9J9,testis
DEFB133,Q30KQ1,testis
C1orf158,Q8N1D5,testis
ZNF705G,A8MUZ8,testis
ZSCAN5B,A6NJL1,testis
C16orf97,H3BN30,testis
DCAF12L1,Q5VU92,testis
DEPDC1,Q5TB30,testis
CT47A7,Q5JQC4,testis
TTC29,Q8NA56,testis
RNF212B,A8MTL3,testis
CTAGE9,A4FU28,testis
PMFBP1,Q8TBY8,testis
LIPJ,Q5W064,testis
IQCH,Q86VS3,testis
MOS,P00540,testis
NME8,Q8N427,testis
TEKT5,Q96M29,testis
PATE1,Q8WXA2,testis
PDZD9,Q8IXQ8,testis
IL13,P35225,testis
SPACA5,Q96QH8,testis
TMPRSS12,Q86WS5,testis
SPATA31A3,Q5VYP0,testis
TMEM247,A6NEH6,testis
DSCR8,Q96T75,testis
GGTLC2,Q14390,testis
PRAMEF2,O60811,testis
LACTBL1,A8MY62,testis
C12orf42,Q96LP6,testis
C9orf131,Q5VYM1,testis
CNBD2,Q96M20,testis
MPC1L,P0DKB6,testis
C9orf153,Q5TBE3,testis
KRBOX1,C9JBD0,testis
KNL1,Q8NG31,testis
DNAJC5G,Q8N7S2,testis
DNAAF3,Q8N9W5,testis
DLEU1,O43261,testis
TUBA3E,Q6PEY2,testis
OR6B2,Q6IFH4,testis
TBC1D26,Q86UD7,testis
RNASE9,P60153,testis
DAZ1,Q9NQZ3,testis
OR5V1,Q9UGF6,testis
SPATC1,Q76KD6,testis
ERICH2,A1L162,testis
MYO3A,Q8NEV4,testis
OR51H1,Q8NH63,testis
KLF18,no ID,testis
CIB4,A0PJX0,testis
PATE4,P0C8F1,testis
TSGA10,Q9BZW7,testis
DPPA3,Q6W0C5,testis
STPG4,Q8N801,testis
HSF2BP,O75031,testis
NME5,P56597,testis
WFDC11,Q8NEX6,testis
UBQLNL,Q8IYU4,testis
DAW1,Q8N136,testis
FBXW10,Q5XX13,testis
ZFAND4,Q86XD8,testis
DMBX1,Q8NFW5,testis
TBATA,Q96M53,testis
OR11A1,Q9GZK7,testis
NPAP1,Q9NZP6,testis
OR5A1,Q8NGJ0,testis
DEFB134,Q4QY38,testis
RFPL3,O75679,testis
SPATA21,Q7Z572,testis
ACTL10,Q5JWF8,testis
OR8B12,Q8NGG6,testis
MAGEA9B,P43362,testis
DCUN1D1,Q96GG9,testis
STPG3,Q8N7X2,testis
HEATR9,A2RTY3,testis
SLC9B1,Q4ZJI4,testis
SPATA31C2,B4DYI2,testis
ZMYND15,Q9H091,testis
OR2J3,O76001,testis
GDPD4,Q6W3E5,testis
OR6B1,O95007,testis
DHH,O43323,testis
RIBC2,Q9H4K1,testis
FAM228A,Q86W67,testis
TEKT4,Q8WW24,testis
TDRD10,Q5VZ19,testis
TBC1D29,Q9UFV1,testis
OR2W1,Q9Y3N9,testis
PIWIL2,Q8TC59,testis
CDKN3,Q16667,testis
TPTE2,Q6XPS3,testis
PRDM14,Q9GZV8,testis
OBP2B,Q9NPH6,testis
OR4M2,Q8NGB6,testis
BAGE2,Q86Y30,testis
PLK4,O00444,testis
TBL2,Q9Y4P3,testis
CTAG2,O75638,testis
TDRD12,Q587J7,testis
SPACA5B,Q96QH8,testis
NKX2-4,Q9H2Z4,testis
MORN3,Q6PF18,testis
SPINK13,Q1W4C9,testis
CCDC169,A6NNP5,testis
SKA3,Q8IX90,testis
C7orf31,Q8N865,testis
TDRD15,B5MCY1,testis
NUF2,Q9BZD4,testis
TMPRSS7,Q7RTY8,testis
ZNF560,Q96MR9,testis
SLC9C2,Q5TAH2,testis
TBX22,Q9Y458,testis
OCM2,P0CE71,testis
OR51A7,Q8NH64,testis
TRIM49,P0CI25,testis
